secret,turns,path
bribe,4,salet(___y_) -> drone(_g__g) -> campi(____y) -> bribe(ggggg)
brick,4,salet(_____) -> courd(y__y_) -> prick(_gggg) -> brick(ggggg)
bride,4,salet(___y_) -> drone(yg__g) -> prude(_g_gg) -> bride(ggggg)
brief,4,salet(___g_) -> rownd(y____) -> pubic(__yy_) -> brief(ggggg)
brine,3,salet(___y_) -> drone(_g_gg) -> brine(ggggg)
bring,4,salet(_____) -> courd(___y_) -> boogy(g__y_) -> bring(ggggg)
brink,4,salet(_____) -> courd(___y_) -> boogy(g____) -> brink(ggggg)
briny,4,salet(_____) -> courd(___y_) -> boogy(g___g) -> briny(ggggg)
brisk,4,salet(y____) -> mucho(_____) -> frisk(_gggg) -> brisk(ggggg)
broad,3,salet(_y___) -> brond(ggg_g) -> broad(ggggg)
broil,4,salet(__y__) -> courd(_y_y_) -> growl(_gg_g) -> broil(ggggg)
broke,4,salet(___y_) -> drone(_gg_g) -> probe(_ggyg) -> broke(ggggg)
brood,4,salet(_____) -> courd(_y_yg) -> frond(_gg_g) -> brood(ggggg)
brook,4,salet(_____) -> courd(_y_y_) -> gimpy(_____) -> brook(ggggg)
broom,4,salet(_____) -> courd(_y_y_) -> gimpy(__y__) -> broom(ggggg)
broth,4,salet(____y) -> north(_yygg) -> froth(_gggg) -> broth(ggggg)
brown,5,salet(_____) -> courd(_y_y_) -> gimpy(_____) -> brook(ggg__) -> brown(ggggg)
brunt,3,salet(____g) -> groin(_g__y) -> brunt(ggggg)
brush,3,salet(y____) -> mucho(_y_y_) -> brush(ggggg)
brute,4,salet(___yy) -> trite(_g_gg) -> wrote(_g_gg) -> brute(ggggg)
buddy,4,salet(_____) -> courd(__y_y) -> dumpy(yg__g) -> buddy(ggggg)
budge,5,salet(___y_) -> drone(y___g) -> whift(_____) -> judge(_gggg) -> budge(ggggg)
buggy,4,salet(_____) -> courd(__y__) -> gimpy(y___g) -> buggy(ggggg)
bugle,4,salet(__yy_) -> doing(____y) -> leggy(yyg__) -> bugle(ggggg)
build,3,salet(__y__) -> courd(__y_g) -> build(ggggg)
built,3,salet(__y_g) -> flung(_yy__) -> built(ggggg)
bulge,3,salet(__gy_) -> himbo(___y_) -> bulge(ggggg)
bulky,3,salet(__g__) -> fugly(_g_yg) -> bulky(ggggg)
bully,4,salet(__g__) -> fugly(_g_gg) -> dully(_gggg) -> bully(ggggg)
bunch,4,salet(_____) -> courd(y_y__) -> humpy(yg___) -> bunch(ggggg)
bunny,5,salet(_____) -> courd(__y__) -> gimpy(____g) -> funny(_gggg) -> bunny(ggggg)
burly,3,salet(__y__) -> courd(__yy_) -> burly(ggggg)
burnt,3,salet(____g) -> groin(_y__y) -> burnt(ggggg)
burst,3,salet(y___g) -> moria(__g__) -> burst(ggggg)
bused,3,salet(y__g_) -> mhorr(_____) -> bused(ggggg)
bushy,4,salet(y____) -> mucho(_g_g_) -> pushy(_gggg) -> bushy(ggggg)
butch,4,salet(____y) -> north(___yg) -> hiked(y____) -> butch(ggggg)
butte,3,salet(___yy) -> trite(y__gg) -> butte(ggggg)
buxom,4,salet(_____) -> courd(_yy__) -> gumbo(_gyyy) -> buxom(ggggg)
buyer,4,salet(___g_) -> rownd(y____) -> pubic(_gy__) -> buyer(ggggg)
bylaw,3,salet(_yg__) -> allay(__ggy) -> bylaw(ggggg)
cabal,3,salet(_gy__) -> bingy(y____) -> cabal(ggggg)
cabby,4,salet(_g___) -> corny(g___g) -> caddy(gg__g) -> cabby(ggggg)
cabin,3,salet(_g___) -> corny(g__y_) -> cabin(ggggg)
cable,3,salet(_gyy_) -> crepe(g___g) -> cable(ggggg)
cacao,3,salet(_g___) -> corny(gy___) -> cacao(ggggg)
cache,3,salet(_g_y_) -> crumb(g____) -> cache(ggggg)
cacti,4,salet(_g__y) -> pubco(___y_) -> tacky(ygg__) -> cacti(ggggg)
caddy,3,salet(_g___) -> corny(g___g) -> caddy(ggggg)
cadet,3,salet(_g_gg) -> facet(_gygg) -> cadet(ggggg)
cagey,3,salet(_g_g_) -> gormy(y___g) -> cagey(ggggg)
cairn,3,salet(_g___) -> corny(g_yy_) -> cairn(ggggg)
camel,3,salet(_gyg_) -> lingy(y____) -> camel(ggggg)
cameo,3,salet(_g_g_) -> gormy(_y_y_) -> cameo(ggggg)
canal,3,salet(_gy__) -> bingy(__g__) -> canal(ggggg)
candy,3,salet(_g___) -> corny(g__yg) -> candy(ggggg)
canny,3,salet(_g___) -> corny(g__gg) -> canny(ggggg)
canoe,4,salet(_g_y_) -> crumb(g____) -> cache(gg__g) -> canoe(ggggg)
canon,3,salet(_g___) -> corny(gy_y_) -> canon(ggggg)
caper,3,salet(_g_g_) -> gormy(__y__) -> caper(ggggg)
caput,4,salet(_g__g) -> thing(y____) -> carat(gg__g) -> caput(ggggg)
carat,3,salet(_g__g) -> thing(y____) -> carat(ggggg)
cargo,3,salet(_g___) -> corny(gyg__) -> cargo(ggggg)
carol,4,salet(_gy__) -> bingy(_____) -> larva(ygg__) -> carol(ggggg)
carry,3,salet(_g___) -> corny(g_g_g) -> carry(ggggg)
carve,3,salet(_g_y_) -> crumb(gy___) -> carve(ggggg)
caste,3,salet(yg_yy) -> porch(___y_) -> caste(ggggg)
catch,4,salet(_g__y) -> pubco(___g_) -> hawms(yg___) -> catch(ggggg)
cater,4,salet(_g_gy) -> terek(y_yg_) -> chiru(g__y_) -> cater(ggggg)
catty,4,salet(_g__y) -> pubco(___y_) -> tacky(ygy_g) -> catty(ggggg)
caulk,4,salet(_gy__) -> bingy(_____) -> larva(yg___) -> caulk(ggggg)
cause,3,salet(yg_y_) -> gumps(_y__y) -> cause(ggggg)
cavil,3,salet(_gy__) -> bingy(_y___) -> cavil(ggggg)
cease,4,salet(yy_y_) -> auric(y___y) -> chase(g_ggg) -> cease(ggggg)
cedar,3,salet(_y_y_) -> beard(_gyyy) -> cedar(ggggg)
cello,3,salet(__gy_) -> himbo(____g) -> cello(ggggg)
chafe,4,salet(_y_y_) -> beard(_yg__) -> aking(y____) -> chafe(ggggg)
chaff,4,salet(_y___) -> brond(_____) -> champ(ggg__) -> chaff(ggggg)
chain,3,salet(_y___) -> brond(___y_) -> chain(ggggg)
chair,3,salet(_y___) -> brond(_y___) -> chair(ggggg)
chalk,4,salet(_yy__) -> corni(g____) -> clamp(gyg__) -> chalk(ggggg)
champ,3,salet(_y___) -> brond(_____) -> champ(ggggg)
chant,3,salet(_y__g) -> courd(g____) -> chant(ggggg)
chaos,3,salet(yy___) -> crags(g_g_g) -> chaos(ggggg)
chard,4,salet(_y___) -> brond(_y__g) -> acrid(yyy_g) -> chard(ggggg)
charm,4,salet(_y___) -> brond(_y___) -> chair(ggg_y) -> charm(ggggg)
chart,3,salet(_y__g) -> courd(g__g_) -> chart(ggggg)
chase,3,salet(yy_y_) -> auric(y___y) -> chase(ggggg)
chasm,3,salet(yy___) -> crags(g_g_y) -> chasm(ggggg)
cheap,4,salet(_y_y_) -> beard(_yy__) -> hyena(y_g_y) -> cheap(ggggg)
