secret,turns,path
avert,3,salet(_y_yg) -> heart(_yygg) -> avert(ggggg)
avian,4,salet(_y___) -> adorn(g___g) -> again(g_yyg) -> avian(ggggg)
avoid,3,salet(_y___) -> adorn(gyg__) -> avoid(ggggg)
await,3,salet(_y__g) -> crudo(_____) -> await(ggggg)
awake,4,salet(_y_y_) -> beard(_yg__) -> kanga(yy__y) -> awake(ggggg)
award,3,salet(_y___) -> adorn(gy_g_) -> award(ggggg)
aware,3,salet(_y_y_) -> beard(_ygg_) -> aware(ggggg)
awash,4,salet(yy___) -> brash(__ggg) -> unlaw(___yy) -> awash(ggggg)
awful,3,salet(_yy__) -> alarm(gy___) -> awful(ggggg)
awoke,4,salet(_y_y_) -> beard(_yy__) -> omega(y_y_y) -> awoke(ggggg)
axial,3,salet(_yy__) -> alarm(gyy__) -> axial(ggggg)
axiom,3,salet(_y___) -> adorn(g_y__) -> axiom(ggggg)
axion,3,salet(_y___) -> adorn(g_y_g) -> axion(ggggg)
azure,3,salet(_y_y_) -> beard(_yyg_) -> azure(ggggg)
bacon,3,salet(_g___) -> cairn(yg__g) -> bacon(ggggg)
badge,3,salet(_g_y_) -> crumb(____y) -> badge(ggggg)
badly,3,salet(_gy__) -> banal(gg__y) -> badly(ggggg)
bagel,3,salet(_gyg_) -> lager(yggg_) -> bagel(ggggg)
baggy,4,salet(_g___) -> cairn(_g___) -> gaudy(yg__g) -> baggy(ggggg)
baker,5,salet(_g_g_) -> gamer(_g_gg) -> parer(_g_gg) -> waver(_g_gg) -> baker(ggggg)
baler,2,salet(_ggg_) -> baler(ggggg)
balmy,3,salet(_gg__) -> rally(_gg_g) -> balmy(ggggg)
banal,2,salet(_gy__) -> banal(ggggg)
banjo,4,salet(_g___) -> cairn(_g__y) -> dodgy(_y___) -> banjo(ggggg)
barge,3,salet(_g_y_) -> crumb(_y__y) -> barge(ggggg)
baron,3,salet(_g___) -> cairn(_g_yg) -> baron(ggggg)
basal,3,salet(ygy__) -> basil(ggg_g) -> basal(ggggg)
basic,3,salet(yg___) -> roins(__y_y) -> basic(ggggg)
basil,2,salet(ygy__) -> basil(ggggg)
basin,3,salet(yg___) -> roins(__yyy) -> basin(ggggg)
basis,3,salet(yg___) -> roins(__y_g) -> basis(ggggg)
baste,4,salet(yg_yy) -> thraw(y__y_) -> rabic(_gy__) -> baste(ggggg)
batch,3,salet(_g__y) -> corby(y__y_) -> batch(ggggg)
bathe,2,salet(_g_yy) -> bathe(ggggg)
baton,3,salet(_g__y) -> corby(_y_y_) -> baton(ggggg)
batty,3,salet(_g__y) -> corby(___yg) -> batty(ggggg)
bawdy,5,salet(_g___) -> cairn(_g___) -> gaudy(_g_gg) -> daddy(_g_gg) -> bawdy(ggggg)
bayou,4,salet(_g___) -> cairn(_g___) -> gaudy(_gy_y) -> bayou(ggggg)
beach,3,salet(_y_y_) -> beard(ggg__) -> beach(ggggg)
beady,3,salet(_y_y_) -> beard(ggg_y) -> beady(ggggg)
beard,2,salet(_y_y_) -> beard(ggggg)
beast,3,salet(yy_yg) -> bousy(g__g_) -> beast(ggggg)
beech,3,salet(___y_) -> drone(____y) -> beech(ggggg)
beefy,4,salet(___y_) -> drone(____y) -> beech(ggg__) -> beefy(ggggg)
befit,4,salet(___yg) -> erect(y___g) -> debut(_gy_g) -> befit(ggggg)
began,3,salet(_y_y_) -> beard(ggy__) -> began(ggggg)
begat,3,salet(_y_yg) -> heart(_gy_g) -> begat(ggggg)
beget,3,salet(___gg) -> cerne(_g__y) -> beget(ggggg)
begin,3,salet(___y_) -> drone(___yy) -> begin(ggggg)
begun,4,salet(___y_) -> drone(___yy) -> begin(ggg_g) -> begun(ggggg)
being,4,salet(___y_) -> drone(___gy) -> penny(_g_g_) -> being(ggggg)
belch,3,salet(__gy_) -> himbo(y__y_) -> belch(ggggg)
belie,3,salet(__gy_) -> himbo(_y_y_) -> belie(ggggg)
belle,4,salet(__gy_) -> himbo(___y_) -> belly(gggg_) -> belle(ggggg)
belly,3,salet(__gy_) -> himbo(___y_) -> belly(ggggg)
below,3,salet(__gy_) -> himbo(___yy) -> below(ggggg)
bench,4,salet(___y_) -> drone(___yy) -> begin(gg__y) -> bench(ggggg)
beret,3,salet(___gg) -> cerne(_gg_y) -> beret(ggggg)
berry,4,salet(___y_) -> drone(_y__y) -> merry(_gggg) -> berry(ggggg)
berth,3,salet(___yy) -> trite(_y_gy) -> berth(ggggg)
beset,3,salet(y__gg) -> rumpo(_____) -> beset(ggggg)
betel,3,salet(__ygy) -> hotel(__ggg) -> betel(ggggg)
bevel,3,salet(__yg_) -> leper(yg_g_) -> bevel(ggggg)
bezel,4,salet(__yg_) -> leper(yg_g_) -> bevel(gg_gg) -> bezel(ggggg)
bible,3,salet(__yy_) -> elide(_yy_g) -> bible(ggggg)
bicep,3,salet(___g_) -> diner(_g_g_) -> bicep(ggggg)
biddy,4,salet(_____) -> round(____y) -> giddy(_gggg) -> biddy(ggggg)
bigot,3,salet(____g) -> ingot(y_ggg) -> bigot(ggggg)
bilge,3,salet(__gy_) -> himbo(_g_y_) -> bilge(ggggg)
billy,4,salet(__g__) -> folly(__ggg) -> dhobi(___yy) -> billy(ggggg)
binge,4,salet(___y_) -> drone(___yg) -> hence(__g_g) -> binge(ggggg)
bingo,4,salet(_____) -> round(_y_y_) -> onion(yyy__) -> bingo(ggggg)
biome,4,salet(___y_) -> drone(__g_g) -> ovoli(__g_y) -> biome(ggggg)
birch,4,salet(_____) -> round(y____) -> crimp(yyy__) -> birch(ggggg)
birth,4,salet(____y) -> north(__ggg) -> bagie(g__y_) -> birth(ggggg)
bison,3,salet(y____) -> missy(_gg__) -> bison(ggggg)
bitty,5,salet(____y) -> north(___g_) -> kitty(_gggg) -> blond(g____) -> bitty(ggggg)
black,4,salet(_yy__) -> alarm(_gg__) -> clank(ygg_g) -> black(ggggg)
blade,4,salet(_yyy_) -> regal(_y_yy) -> amble(y_yyg) -> blade(ggggg)
blame,4,salet(_yyy_) -> regal(_y_yy) -> amble(yyyyg) -> blame(ggggg)
bland,4,salet(_yy__) -> alarm(_gg__) -> clank(_ggg_) -> bland(ggggg)
blank,5,salet(_yy__) -> alarm(_gg__) -> clank(_gggg) -> beeps(g____) -> blank(ggggg)
blare,3,salet(_yyy_) -> regal(yy_yy) -> blare(ggggg)
blast,2,salet(yyy_g) -> blast(ggggg)
blaze,5,salet(_yyy_) -> regal(_y_yy) -> amble(y_yyg) -> blade(ggg_g) -> blaze(ggggg)
bleak,4,salet(_yyy_) -> regal(_y_gy) -> blond(gg___) -> bleak(ggggg)
bleat,3,salet(_yyyg) -> leapt(yyy_g) -> bleat(ggggg)
bleed,4,salet(__yg_) -> leper(yy_g_) -> wheel(__ggy) -> bleed(ggggg)
bleep,3,salet(__yg_) -> leper(yyyg_) -> bleep(ggggg)
blend,3,salet(__yy_) -> elide(yg_y_) -> blend(ggggg)
bless,3,salet(y_yy_) -> zooms(____g) -> bless(ggggg)
blimp,4,salet(__y__) -> could(___y_) -> fling(_gg__) -> blimp(ggggg)
blind,4,salet(__y__) -> could(___yg) -> lipid(yy__g) -> blind(ggggg)
blink,4,salet(__y__) -> could(___y_) -> fling(_ggg_) -> blink(ggggg)
bliss,3,salet(y_y__) -> floss(_g_gg) -> bliss(ggggg)
blitz,3,salet(__y_y) -> troll(y__y_) -> blitz(ggggg)
bloat,3,salet(_yy_g) -> gloat(_gggg) -> bloat(ggggg)
block,3,salet(__y__) -> could(yy_y_) -> block(ggggg)
bloke,3,salet(__yy_) -> elide(_g__g) -> bloke(ggggg)
blond,3,salet(__y__) -> could(_y_yg) -> blond(ggggg)
blood,4,salet(__y__) -> could(_y_yg) -> blond(ggg_g) -> blood(ggggg)
bloom,4,salet(__y__) -> could(_y_y_) -> growl(__g_y) -> bloom(ggggg)
blown,4,salet(__y__) -> could(_y_y_) -> growl(__ggy) -> blown(ggggg)
bluer,4,salet(__yg_) -> leper(y__gg) -> bousy(g_g__) -> bluer(ggggg)
bluff,3,salet(__y__) -> could(__gy_) -> bluff(ggggg)
blunt,3,salet(__y_g) -> glint(_g_gg) -> blunt(ggggg)
blurb,4,salet(__y__) -> could(__gy_) -> bluff(ggg__) -> blurb(ggggg)
blurt,4,salet(__y_g) -> glint(_g__g) -> clout(_g_yg) -> blurt(ggggg)
blush,3,salet(y_y__) -> floss(_g_g_) -> blush(ggggg)
board,3,salet(_y___) -> adorn(yyyg_) -> board(ggggg)
boast,3,salet(yy__g) -> taroc(yy_y_) -> boast(ggggg)
bobby,4,salet(_____) -> round(_g___) -> boozy(gg__g) -> bobby(ggggg)
boney,4,salet(___g_) -> diner(__gg_) -> chime(____y) -> boney(ggggg)
bongo,4,salet(_____) -> round(_g_y_) -> conic(_gg__) -> bongo(ggggg)
bonus,3,salet(y____) -> missy(__y__) -> bonus(ggggg)
booby,4,salet(_____) -> round(_g___) -> boozy(ggg_g) -> booby(ggggg)
boost,3,salet(y___g) -> frost(__ggg) -> boost(ggggg)
booth,4,salet(____y) -> north(_g_gg) -> bousy(gg___) -> booth(ggggg)
booty,4,salet(____y) -> north(_g_g_) -> motto(_g_gy) -> booty(ggggg)
booze,4,salet(___y_) -> drone(__g_g) -> ovoli(y_g__) -> booze(ggggg)
boozy,3,salet(_____) -> round(_g___) -> boozy(ggggg)
borax,4,salet(_y___) -> adorn(y_yy_) -> bravo(gyy_y) -> borax(ggggg)
borne,3,salet(___y_) -> drone(_yygg) -> borne(ggggg)
bosom,3,salet(y____) -> missy(y_g__) -> bosom(ggggg)
bossy,4,salet(y____) -> missy(__ggg) -> fussy(__ggg) -> bossy(ggggg)
botch,4,salet(____y) -> north(_g_yg) -> touch(yg_gg) -> botch(ggggg)
bough,4,salet(_____) -> round(_gg__) -> couch(_gg_g) -> bough(ggggg)
boule,4,salet(__yy_) -> elide(_y__g) -> noble(_gygg) -> boule(ggggg)
bound,4,salet(_____) -> round(_gggg) -> bumph(gy___) -> bound(ggggg)
bowel,4,salet(__yg_) -> leper(y__g_) -> vowel(_gggg) -> bowel(ggggg)
boxer,5,salet(___g_) -> diner(___gg) -> rower(_g_gg) -> mucky(_____) -> boxer(ggggg)
brace,4,salet(_y_y_) -> beard(gygy_) -> sucky(__y__) -> brace(ggggg)
braid,3,salet(_y___) -> adorn(yy_y_) -> braid(ggggg)
brain,4,salet(_y___) -> adorn(y__yg) -> brawn(ggg_g) -> brain(ggggg)
brake,4,salet(_y_y_) -> beard(gygy_) -> sucky(___g_) -> brake(ggggg)
brand,3,salet(_y___) -> adorn(yy_yy) -> brand(ggggg)
brash,2,salet(yy___) -> brash(ggggg)
brass,3,salet(yy___) -> brash(gggg_) -> brass(ggggg)
brave,4,salet(_y_y_) -> beard(gygy_) -> sucky(_____) -> brave(ggggg)
bravo,3,salet(_y___) -> adorn(y_yy_) -> bravo(ggggg)
brawl,4,salet(_yy__) -> alarm(_ygy_) -> gibed(__y__) -> brawl(ggggg)
brawn,3,salet(_y___) -> adorn(y__yg) -> brawn(ggggg)
bread,3,salet(_y_y_) -> beard(gyyyg) -> bread(ggggg)
break,3,salet(_y_y_) -> beard(gyyy_) -> break(ggggg)
breed,4,salet(___g_) -> diner(y__gy) -> befog(gy___) -> breed(ggggg)
briar,4,salet(_y___) -> adorn(y__y_) -> crazy(_gy__) -> briar(ggggg)
bribe,4,salet(___y_) -> drone(_g__g) -> prime(_gg_g) -> bribe(ggggg)
brick,4,salet(_____) -> round(y____) -> crimp(ygg__) -> brick(ggggg)
bride,4,salet(___y_) -> drone(yg__g) -> pride(_gggg) -> bride(ggggg)
brief,3,salet(___g_) -> diner(_y_gy) -> brief(ggggg)
brine,4,salet(___y_) -> drone(_g_gg) -> urine(_gggg) -> brine(ggggg)
bring,3,salet(_____) -> round(y__g_) -> bring(ggggg)
brink,4,salet(_____) -> round(y__g_) -> bring(gggg_) -> brink(ggggg)
briny,5,salet(_____) -> round(y__g_) -> bring(gggg_) -> brink(gggg_) -> briny(ggggg)
brisk,4,salet(y____) -> missy(_y_g_) -> frisk(_gggg) -> brisk(ggggg)
broad,3,salet(_y___) -> adorn(yygy_) -> broad(ggggg)
broil,4,salet(__y__) -> could(_y_y_) -> growl(_gg_g) -> broil(ggggg)
broke,4,salet(___y_) -> drone(_gg_g) -> probe(_ggyg) -> broke(ggggg)
brood,4,salet(_____) -> round(yy__g) -> chord(__gyg) -> brood(ggggg)
brook,4,salet(_____) -> round(yy___) -> crook(_gggg) -> brook(ggggg)
broom,4,salet(_____) -> round(yy___) -> crook(_ggg_) -> broom(ggggg)
broth,3,salet(____y) -> north(_yygg) -> broth(ggggg)
brown,4,salet(_____) -> round(yy_y_) -> bagie(g____) -> brown(ggggg)
brunt,3,salet(____g) -> ingot(_y__g) -> brunt(ggggg)
brush,3,salet(y____) -> missy(___g_) -> brush(ggggg)
brute,3,salet(___yy) -> trite(_g_gg) -> brute(ggggg)
buddy,4,salet(_____) -> round(__y_y) -> dumpy(yg__g) -> buddy(ggggg)
budge,4,salet(___y_) -> drone(y___g) -> hijab(____y) -> budge(ggggg)
buggy,4,salet(_____) -> round(__y__) -> jumpy(_g__g) -> buggy(ggggg)
bugle,4,salet(__yy_) -> elide(_y__g) -> noble(__ygg) -> bugle(ggggg)
build,3,salet(__y__) -> could(__ygg) -> build(ggggg)
built,3,salet(__y_g) -> glint(_yg_g) -> built(ggggg)
bulge,4,salet(__gy_) -> himbo(___y_) -> belly(gyg__) -> bulge(ggggg)
bulky,3,salet(__g__) -> folly(__g_g) -> bulky(ggggg)
bully,4,salet(__g__) -> folly(__ggg) -> dhobi(___y_) -> bully(ggggg)
bunch,5,salet(_____) -> round(__yy_) -> hunky(ygg__) -> beeps(g____) -> bunch(ggggg)
bunny,3,salet(_____) -> round(__yg_) -> bunny(ggggg)
burly,3,salet(__y__) -> could(__yg_) -> burly(ggggg)
burnt,4,salet(____g) -> ingot(_y__g) -> brunt(gyygg) -> burnt(ggggg)
burst,3,salet(y___g) -> frost(_y_gg) -> burst(ggggg)
bused,3,salet(y__g_) -> risen(__gg_) -> bused(ggggg)
bushy,3,salet(y____) -> missy(__g_g) -> bushy(ggggg)
butch,4,salet(____y) -> north(___yg) -> wiped(_____) -> butch(ggggg)
butte,3,salet(___yy) -> trite(y__gg) -> butte(ggggg)
buxom,4,salet(_____) -> round(_yy__) -> gumbo(_gyyy) -> buxom(ggggg)
buyer,4,salet(___g_) -> diner(___gg) -> rower(___gg) -> buyer(ggggg)
bylaw,3,salet(_yg__) -> allay(__ggy) -> bylaw(ggggg)
cabal,3,salet(_gy__) -> banal(yg_gg) -> cabal(ggggg)
cabby,3,salet(_g___) -> cairn(gg___) -> cabby(ggggg)
cabin,3,salet(_g___) -> cairn(ggy_g) -> cabin(ggggg)
cable,2,salet(_gyy_) -> cable(ggggg)
cacao,4,salet(_g___) -> cairn(gg___) -> cabby(gg___) -> cacao(ggggg)
cache,3,salet(_g_y_) -> crumb(g____) -> cache(ggggg)
cacti,3,salet(_g__y) -> corby(g____) -> cacti(ggggg)
caddy,4,salet(_g___) -> cairn(gg___) -> cabby(gg__g) -> caddy(ggggg)
cadet,2,salet(_g_gg) -> cadet(ggggg)
cagey,3,salet(_g_g_) -> gamer(yg_g_) -> cagey(ggggg)
cairn,2,salet(_g___) -> cairn(ggggg)
camel,4,salet(_gyg_) -> lager(yg_g_) -> canal(gg__g) -> camel(ggggg)
cameo,3,salet(_g_g_) -> gamer(_ggg_) -> cameo(ggggg)
canal,3,salet(_gy__) -> banal(_gggg) -> canal(ggggg)
candy,3,salet(_g___) -> cairn(gg__y) -> candy(ggggg)
canny,4,salet(_g___) -> cairn(gg__y) -> candy(ggg_g) -> canny(ggggg)
canoe,4,salet(_g_y_) -> crumb(g____) -> cache(gg__g) -> canoe(ggggg)
canon,3,salet(_g___) -> cairn(gg__g) -> canon(ggggg)
caper,4,salet(_g_g_) -> gamer(_g_gg) -> parer(yg_gg) -> caper(ggggg)
caput,3,salet(_g__g) -> thing(y____) -> caput(ggggg)
carat,4,salet(_g__g) -> thing(y____) -> caput(gg__g) -> carat(ggggg)
cargo,3,salet(_g___) -> cairn(gg_y_) -> cargo(ggggg)
carol,3,salet(_gy__) -> banal(_g__g) -> carol(ggggg)
carry,3,salet(_g___) -> cairn(gg_g_) -> carry(ggggg)
carve,3,salet(_g_y_) -> crumb(gy___) -> carve(ggggg)
caste,4,salet(yg_yy) -> thraw(y__y_) -> rabic(_g__y) -> caste(ggggg)
catch,4,salet(_g__y) -> corby(g____) -> cacti(ggyy_) -> catch(ggggg)
cater,4,salet(_g_gy) -> eater(_gggg) -> chest(g_y_y) -> cater(ggggg)
catty,3,salet(_g__y) -> corby(g___g) -> catty(ggggg)
caulk,4,salet(_gy__) -> banal(_g__y) -> daily(_g_g_) -> caulk(ggggg)
cause,3,salet(yg_y_) -> pricy(___y_) -> cause(ggggg)
cavil,4,salet(_gy__) -> banal(_g__g) -> carol(gg__g) -> cavil(ggggg)
cease,3,salet(yy_y_) -> erase(y_ggg) -> cease(ggggg)
cedar,3,salet(_y_y_) -> beard(_gyyy) -> cedar(ggggg)
cello,3,salet(__gy_) -> himbo(____g) -> cello(ggggg)
chafe,4,salet(_y_y_) -> beard(_yg__) -> kanga(_y___) -> chafe(ggggg)
chaff,4,salet(_y___) -> adorn(y____) -> champ(ggg__) -> chaff(ggggg)
chain,3,salet(_y___) -> adorn(y___g) -> chain(ggggg)
chair,4,salet(_y___) -> adorn(y__y_) -> crazy(gyg__) -> chair(ggggg)
chalk,3,salet(_yy__) -> alarm(_yg__) -> chalk(ggggg)
champ,3,salet(_y___) -> adorn(y____) -> champ(ggggg)
chant,3,salet(_y__g) -> crudo(g____) -> chant(ggggg)
chaos,3,salet(yy___) -> brash(__gyy) -> chaos(ggggg)
chard,4,salet(_y___) -> adorn(yy_g_) -> sucky(__y__) -> chard(ggggg)
charm,4,salet(_y___) -> adorn(y__g_) -> umbra(_y_gy) -> charm(ggggg)
chart,3,salet(_y__g) -> crudo(gy___) -> chart(ggggg)
chase,4,salet(yy_y_) -> erase(__ggg) -> phase(_gggg) -> chase(ggggg)
