secret,turns,path
biome,3,reast(_y___) -> clone(__g_g) -> biome(ggggg)
birch,4,reast(y____) -> courd(y__y_) -> prick(_yyg_) -> birch(ggggg)
birth,3,reast(y___y) -> throw(yyg__) -> birth(ggggg)
bison,3,reast(___y_) -> slunk(y__y_) -> bison(ggggg)
bitty,4,reast(____y) -> ponty(___gg) -> bawty(g__gg) -> bitty(ggggg)
black,4,reast(__g__) -> clank(ygg_g) -> flack(_gggg) -> black(ggggg)
blade,3,reast(_yg__) -> glade(_gggg) -> blade(ggggg)
blame,3,reast(_yg__) -> glade(_gg_g) -> blame(ggggg)
bland,4,reast(__g__) -> clank(_ggg_) -> gland(_gggg) -> bland(ggggg)
blank,4,reast(__g__) -> clank(_gggg) -> flank(_gggg) -> blank(ggggg)
blare,3,reast(yyg__) -> brace(gyg_g) -> blare(ggggg)
blast,3,reast(__ggg) -> toast(__ggg) -> blast(ggggg)
blaze,4,reast(_yg__) -> glade(_gg_g) -> blame(ggg_g) -> blaze(ggggg)
bleak,4,reast(_yy__) -> angel(y__yy) -> fable(_yyyy) -> bleak(ggggg)
bleat,3,reast(_yy_g) -> cleat(_gggg) -> bleat(ggggg)
bleed,3,reast(_y___) -> clone(_g__y) -> bleed(ggggg)
bleep,4,reast(_y___) -> clone(_g__y) -> bleed(gggg_) -> bleep(ggggg)
blend,3,reast(_y___) -> clone(_g_gy) -> blend(ggggg)
bless,4,reast(_y_g_) -> close(_g_gy) -> flesh(_ggg_) -> bless(ggggg)
blimp,4,reast(_____) -> build(g_gy_) -> blink(ggg__) -> blimp(ggggg)
blind,3,reast(_____) -> build(g_gyg) -> blind(ggggg)
blink,3,reast(_____) -> build(g_gy_) -> blink(ggggg)
bliss,3,reast(___g_) -> floss(_g_gg) -> bliss(ggggg)
blitz,4,reast(____y) -> ponty(___g_) -> filth(_yyg_) -> blitz(ggggg)
bloat,5,reast(__y_g) -> atilt(y__yg) -> gloat(_gggg) -> float(_gggg) -> bloat(ggggg)
block,4,reast(_____) -> build(g__y_) -> belon(g_yy_) -> block(ggggg)
bloke,4,reast(_y___) -> clone(_gg_g) -> globe(_ggyg) -> bloke(ggggg)
blond,4,reast(_____) -> build(g__yg) -> blood(ggg_g) -> blond(ggggg)
blood,3,reast(_____) -> build(g__yg) -> blood(ggggg)
bloom,4,reast(_____) -> build(g__y_) -> belon(g_yg_) -> bloom(ggggg)
blown,4,reast(_____) -> build(g__y_) -> belon(g_yyg) -> blown(ggggg)
bluer,4,reast(yy___) -> probe(_y_yy) -> beery(gy_y_) -> bluer(ggggg)
bluff,3,reast(_____) -> build(gy_y_) -> bluff(ggggg)
blunt,3,reast(____g) -> flint(_g_gg) -> blunt(ggggg)
blurb,3,reast(y____) -> courd(__gg_) -> blurb(ggggg)
blurt,3,reast(y___g) -> bruit(gyg_g) -> blurt(ggggg)
blush,4,reast(___g_) -> floss(_g_g_) -> plush(_gggg) -> blush(ggggg)
board,4,reast(y_g__) -> drawn(yyg__) -> hoard(_gggg) -> board(ggggg)
boast,4,reast(__ggg) -> toast(_gggg) -> coast(_gggg) -> boast(ggggg)
bobby,3,reast(_____) -> build(g____) -> bobby(ggggg)
boney,4,reast(_y___) -> clone(__yyy) -> women(_g_gy) -> boney(ggggg)
bongo,4,reast(_____) -> build(g____) -> bobby(gg___) -> bongo(ggggg)
bonus,4,reast(___y_) -> slunk(y_yy_) -> minus(__ggg) -> bonus(ggggg)
booby,4,reast(_____) -> build(g____) -> bobby(gg_gg) -> booby(ggggg)
boost,3,reast(___gg) -> joist(_g_gg) -> boost(ggggg)
booth,4,reast(____y) -> ponty(_g_g_) -> motto(_g_gy) -> booth(ggggg)
booty,3,reast(____y) -> ponty(_g_gg) -> booty(ggggg)
booze,4,reast(_y___) -> clone(__g_g) -> biome(g_g_g) -> booze(ggggg)
boozy,4,reast(_____) -> build(g____) -> bobby(gg__g) -> boozy(ggggg)
borax,4,reast(y_y__) -> carom(_ygy_) -> foray(_ggg_) -> borax(ggggg)
borne,4,reast(yy___) -> probe(_yyyg) -> ombre(y_yyg) -> borne(ggggg)
bosom,4,reast(___y_) -> slunk(y____) -> wispy(__g__) -> bosom(ggggg)
bossy,3,reast(___g_) -> floss(__ygy) -> bossy(ggggg)
botch,4,reast(____y) -> ponty(_g_y_) -> tough(yg__g) -> botch(ggggg)
bough,3,reast(_____) -> build(gy___) -> bough(ggggg)
boule,3,reast(_y___) -> clone(_yy_g) -> boule(ggggg)
bound,3,reast(_____) -> build(gy__g) -> bound(ggggg)
bowel,4,reast(_y___) -> clone(_yy_y) -> vowel(_gggg) -> bowel(ggggg)
boxer,3,reast(yy___) -> probe(_yyyy) -> boxer(ggggg)
brace,2,reast(yyg__) -> brace(ggggg)
braid,4,reast(y_g__) -> drawn(ygg__) -> fraud(_gg_g) -> braid(ggggg)
brain,4,reast(y_g__) -> drawn(_gg_g) -> grain(_gggg) -> brain(ggggg)
brake,3,reast(yyg__) -> brace(ggg_g) -> brake(ggggg)
brand,3,reast(y_g__) -> drawn(ygg_y) -> brand(ggggg)
brash,3,reast(y_gg_) -> crass(_ggg_) -> brash(ggggg)
brass,4,reast(y_gg_) -> crass(_gggg) -> grass(_gggg) -> brass(ggggg)
brave,4,reast(yyg__) -> brace(ggg_g) -> brake(ggg_g) -> brave(ggggg)
bravo,5,reast(y_g__) -> drawn(_gg__) -> graip(_gg__) -> crazy(_gg__) -> bravo(ggggg)
brawl,4,reast(y_g__) -> drawn(_ggg_) -> crawl(_gggg) -> brawl(ggggg)
brawn,3,reast(y_g__) -> drawn(_gggg) -> brawn(ggggg)
bread,3,reast(yyy__) -> wager(_y_yy) -> bread(ggggg)
break,4,reast(yyy__) -> wager(_y_yy) -> bread(gggg_) -> break(ggggg)
breed,3,reast(yy___) -> probe(_g_yy) -> breed(ggggg)
briar,4,reast(y_y__) -> carom(_yy__) -> urban(_gyg_) -> briar(ggggg)
bribe,3,reast(yy___) -> probe(_g_gg) -> bribe(ggggg)
brick,4,reast(y____) -> courd(y__y_) -> prick(_gggg) -> brick(ggggg)
bride,4,reast(yy___) -> probe(_g_yg) -> brine(ggg_g) -> bride(ggggg)
brief,4,reast(yy___) -> probe(_g_yy) -> breed(gg_g_) -> brief(ggggg)
brine,3,reast(yy___) -> probe(_g_yg) -> brine(ggggg)
bring,5,reast(y____) -> courd(___y_) -> girly(yyy__) -> wring(_gggg) -> bring(ggggg)
brink,4,reast(y____) -> courd(___y_) -> girly(_yy__) -> brink(ggggg)
briny,4,reast(y____) -> courd(___y_) -> girly(_yy_g) -> briny(ggggg)
brisk,4,reast(y__g_) -> cursi(__ygy) -> frisk(_gggg) -> brisk(ggggg)
broad,4,reast(y_y__) -> carom(_yyy_) -> organ(yg_g_) -> broad(ggggg)
broil,5,reast(y____) -> courd(_y_y_) -> grown(_gg__) -> broom(ggg__) -> broil(ggggg)
broke,3,reast(yy___) -> probe(_ggyg) -> broke(ggggg)
brood,3,reast(y____) -> courd(_y_yg) -> brood(ggggg)
brook,5,reast(y____) -> courd(_y_y_) -> grown(_gg__) -> broom(gggg_) -> brook(ggggg)
broom,4,reast(y____) -> courd(_y_y_) -> grown(_gg__) -> broom(ggggg)
broth,3,reast(y___y) -> throw(yyyy_) -> broth(ggggg)
brown,4,reast(y____) -> courd(_y_y_) -> grown(_gggg) -> brown(ggggg)
brunt,3,reast(y___g) -> bruit(ggg_g) -> brunt(ggggg)
brush,3,reast(y__g_) -> cursi(_yyg_) -> brush(ggggg)
brute,4,reast(yy__y) -> toter(y__yy) -> write(_g_gg) -> brute(ggggg)
buddy,3,reast(_____) -> build(gg__y) -> buddy(ggggg)
budge,3,reast(_y___) -> clone(____g) -> budge(ggggg)
buggy,4,reast(_____) -> build(gg___) -> bunny(gg__g) -> buggy(ggggg)
bugle,4,reast(_y___) -> clone(_y__g) -> liege(y__yg) -> bugle(ggggg)
build,2,reast(_____) -> build(ggggg)
built,3,reast(____g) -> flint(_yg_g) -> built(ggggg)
bulge,4,reast(_y___) -> clone(_y__g) -> liege(y__gg) -> bulge(ggggg)
bulky,3,reast(_____) -> build(gg_y_) -> bulky(ggggg)
bully,3,reast(_____) -> build(gg_g_) -> bully(ggggg)
bunch,4,reast(_____) -> build(gg___) -> bunny(ggg__) -> bunch(ggggg)
bunny,3,reast(_____) -> build(gg___) -> bunny(ggggg)
burly,4,reast(y____) -> courd(__yy_) -> murky(_gg_g) -> burly(ggggg)
burnt,3,reast(y___g) -> bruit(gyy_g) -> burnt(ggggg)
burst,3,reast(y__gg) -> trust(_yygg) -> burst(ggggg)
bused,3,reast(_y_y_) -> spine(y___y) -> bused(ggggg)
bushy,5,reast(___y_) -> slunk(y_y__) -> music(_gg__) -> pushy(_gggg) -> bushy(ggggg)
butch,4,reast(____y) -> ponty(___y_) -> width(___yg) -> butch(ggggg)
butte,3,reast(_y__y) -> title(y_g_g) -> butte(ggggg)
buxom,4,reast(_____) -> build(gg___) -> bunny(gg___) -> buxom(ggggg)
buyer,4,reast(yy___) -> probe(_y_yy) -> beery(gy_yy) -> buyer(ggggg)
bylaw,4,reast(__y__) -> monal(___gy) -> iliac(_y_g_) -> bylaw(ggggg)
cabal,3,reast(__y__) -> monal(___gg) -> cabal(ggggg)
cabby,4,reast(__y__) -> monal(___y_) -> cadgy(gg__g) -> cabby(ggggg)
cabin,4,reast(__y__) -> monal(__yy_) -> aping(y_yy_) -> cabin(ggggg)
cable,4,reast(_yy__) -> angel(y__yy) -> fable(_gggg) -> cable(ggggg)
cacao,3,reast(__y__) -> monal(_y_g_) -> cacao(ggggg)
cache,4,reast(_yy__) -> angel(y__y_) -> mavie(_g__g) -> cache(ggggg)
cacti,3,reast(__y_y) -> batty(_g_g_) -> cacti(ggggg)
caddy,4,reast(__y__) -> monal(___y_) -> cadgy(ggg_g) -> caddy(ggggg)
cadet,3,reast(_yy_g) -> cleat(g_yyg) -> cadet(ggggg)
cagey,3,reast(_yy__) -> angel(y_gg_) -> cagey(ggggg)
cairn,3,reast(y_y__) -> carom(ggy__) -> cairn(ggggg)
camel,5,reast(_yy__) -> angel(y__gg) -> lapel(_g_gg) -> hazel(_g_gg) -> camel(ggggg)
cameo,3,reast(_yy__) -> angel(y__g_) -> cameo(ggggg)
canal,3,reast(__y__) -> monal(__ggg) -> canal(ggggg)
candy,4,reast(__y__) -> monal(__gy_) -> nancy(_ggyg) -> candy(ggggg)
canny,4,reast(__y__) -> monal(__gy_) -> nancy(yggyg) -> canny(ggggg)
canoe,4,reast(_yy__) -> angel(yy_y_) -> dance(_ggyg) -> canoe(ggggg)
canon,3,reast(__y__) -> monal(_ygy_) -> canon(ggggg)
caper,4,reast(yyy__) -> wager(_g_gg) -> paler(yg_gg) -> caper(ggggg)
caput,4,reast(__y_g) -> atilt(y___g) -> ghaut(__ygg) -> caput(ggggg)
carat,2,reast(y_y_g) -> carat(ggggg)
cargo,3,reast(y_y__) -> carom(gggy_) -> cargo(ggggg)
carol,3,reast(y_y__) -> carom(gggg_) -> carol(ggggg)
carry,3,reast(y_y__) -> carom(ggg__) -> carry(ggggg)
carve,3,reast(yyy__) -> wager(_g_yy) -> carve(ggggg)
caste,3,reast(_yyyy) -> tabes(yg_yy) -> caste(ggggg)
catch,5,reast(__y_y) -> batty(_gg__) -> matlo(_gg__) -> watap(_gg__) -> catch(ggggg)
cater,5,reast(yyy_y) -> later(_gggg) -> eater(_gggg) -> water(_gggg) -> cater(ggggg)
catty,5,reast(__y_y) -> batty(_gggg) -> fatty(_gggg) -> tatty(_gggg) -> catty(ggggg)
caulk,4,reast(__y__) -> monal(___yy) -> daily(_g_g_) -> caulk(ggggg)
cause,3,reast(_yyg_) -> amuse(y_ggg) -> cause(ggggg)
cavil,3,reast(__y__) -> monal(___yg) -> cavil(ggggg)
cease,2,reast(_ggg_) -> cease(ggggg)
cedar,2,reast(ygy__) -> cedar(ggggg)
cello,4,reast(_g___) -> henge(_g___) -> belly(_ggg_) -> cello(ggggg)
chafe,5,reast(_yg__) -> glade(__g_g) -> awake(__g_g) -> inane(__g_g) -> chafe(ggggg)
chaff,3,reast(__g__) -> clank(g_g__) -> chaff(ggggg)
chain,3,reast(__g__) -> clank(g_gy_) -> chain(ggggg)
